	HGNC_ID	GENE_SYMBOL	median_turnover
0	HGNC:21172	ADAT2	0.4123951259346267
1	HGNC:2977	TRDMT1	0.0807029055549839
2	HGNC:17026	TP53TG1	0.15313790965121182
3	HGNC:11007	SLC2A3	0.20722086314698795
4	HGNC:226	ADARB1	0.03796643022225082
5	HGNC:7985	NR6A1	0.6765850004511799
6	HGNC:4320	GLI4	0.14280152462684442
7		C17orf69	0.25659812289416006
8	HGNC:17788	LIN7B	0.15617009308563792
9	HGNC:1934	CHIC1	0.11804841781873023
10		LYRM5	0.04108132390213724
11	HGNC:28917	JAZF1	0.2088330774503897
12	HGNC:3119	E2F5	0.10030630346134765
13	HGNC:11030	SLC4A4	0.10305440031130678
14	HGNC:14596	MTMR9	0.12132889609341371
15	HGNC:2082	CLOCK	0.14191295091001532
16	HGNC:13548	VN1R1	0.1877263575058139
17	HGNC:1557	CBX7	0.07671413814307868
18	HGNC:1168	TMEM9B	0.15379648504227234
19	HGNC:8005	NRP2	0.10989316488726
20	HGNC:25441	TMEM64	0.1652063997776148
21	HGNC:3496	MPZL2	0.06739322309739773
22	HGNC:5129	HOXC8	0.5623778237147531
23	HGNC:9018	PKIB	0.03795467824993782
24	HGNC:21166	RHEBL1	0.16623994235114659
25	HGNC:5099	HOXA1	0.43536863209085125
26	HGNC:29899	DEPDC7	0.1036652160503472
27	HGNC:1132	BTG3	0.1520157413779875
28		TMEM136	0.1468495904202955
29	HGNC:6117	IRF2	0.1743559810785103
30		FAM35B	0.08142215392068959
31	HGNC:25603	TMEM143	0.04719047958633425
32	HGNC:11131	SNAP23	0.019418102456992735
33	HGNC:13411	PHTF2	0.02998401588705838
34	HGNC:10823	SH3BGRL	0.017114652817022246
35	HGNC:18455	PROK2	0.1456709896712809
36	HGNC:11507	SYPL1	0.06287551345637776
37	HGNC:11196	SOX15	0.21406341165687515
38	HGNC:12474	UBE2D1	0.03568336804464027
39	HGNC:2496	CTBS	0.038095849652316396
40	HGNC:16989	MORF4L1	0.06310273195983696
41	HGNC:18268	LMBR1L	0.04766018364827652
42	HGNC:1589	CCNE1	0.38724012472110625
43	HGNC:30324	RFK	0.050376815962032806
44	HGNC:30575	SIGIRR	0.06810541768728566
45	HGNC:13753	FSD1L	0.1053490795303135
46	HGNC:4401	GNB5	0.03151203850112521
47	HGNC:21084	FAM135A	0.0655980263318632
48	HGNC:10067	RNF4	0.18613221488469228
49	HGNC:28115	TBCEL	0.07706711579352919
50	HGNC:2420	CRYZL1	0.11922940438132434
51	HGNC:18666	RNPC3	0.29792847168690983
52	HGNC:14914	CA13	0.10924526129197057
53	HGNC:11401	TSSK2	0.23108564452124353
54	HGNC:17179	CDC37L1	0.4708511346117785
55	HGNC:1770	CDK10	0.05523363838950436
56	HGNC:23649	BMS1P1	0.07299229233158167
