sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:17264","POLR1A","RNA polymerase I subunit A","","DKFZP586M0122,FLJ21915,RPO1-4,RPA1,A190","2p11.2"
"HGNC:20454","POLR1B","RNA polymerase I subunit B","","Rpo1-2,FLJ21921,FLJ10816,RPA2,A135","2q14.1"
"HGNC:20194","POLR1C","RNA polymerase I and III subunit C","","RPA40,RPA39,RPA5,RPAC1,AC40,RPC40","6p21.1"
"HGNC:20422","POLR1D","RNA polymerase I and III subunit D","","RPAC2,RPA16,RPO1-3,RPA9,MGC9850,AC19","13q12.2"
"HGNC:17631","POLR1E","RNA polymerase I subunit E","PRAF1","FLJ13390,PAF53,FLJ13970,A49","9p13.2"
"HGNC:18027","POLR1F","RNA polymerase I subunit F","TWISTNB","RPA43,A43","7p21.1"
"HGNC:24219","POLR1G","RNA polymerase I subunit G","CD3EAP","ASE-1,CAST,PAF49,RPA34,A34.5","19q13.32"
"HGNC:13182","POLR1H","RNA polymerase I subunit H","ZNRD1","hZR14,HTEX-6,tctex-6,RPA12,A12.2","6p22.1"
"HGNC:9187","POLR2A","RNA polymerase II subunit A","POLR2","POLRA,RPB1","17p13.1"
"HGNC:9188","POLR2B","RNA polymerase II subunit B","","RPB2","4q12"
"HGNC:9189","POLR2C","RNA polymerase II subunit C","","RPB3","16q21"
"HGNC:9191","POLR2D","RNA polymerase II subunit D","","RPB4","2q14.3"
"HGNC:9192","POLR2E","RNA polymerase II subunit E","","RPB5,RPABC1,XAP4,hRPB25,hsRPB5","19p13.3"
"HGNC:9193","POLR2F","RNA polymerase II subunit F","","RPB6,HRBP14.4","22q13.1"
"HGNC:9194","POLR2G","RNA polymerase II subunit G","","hRPB19,hsRPB7,RPB7","11q12.3"
"HGNC:9195","POLR2H","RNA polymerase II subunit H","","RPB8","3q27.1"
"HGNC:9196","POLR2I","RNA polymerase II subunit I","","RPB9,hRPB14.5","19q13.12"
"HGNC:9197","POLR2J","RNA polymerase II subunit J","","RPB11,hRPB14,RPB11A,RPB11m,POLR2J1","7q22.1"
"HGNC:23208","POLR2J2","RNA polymerase II subunit J2","","RPB11b1","7q22.1"
"HGNC:33853","POLR2J3","RNA polymerase II subunit J3","","","7q22.1"
"HGNC:9198","POLR2K","RNA polymerase II subunit K","","RPB10alpha,RPB12","8q22.2"
"HGNC:9199","POLR2L","RNA polymerase II subunit L","","RPB10beta,RBP10,RPABC5,RPB7.6,hRPB7.6,hsRPB10b","11p15.5"
"HGNC:14862","POLR2M","RNA polymerase II subunit M","GRINL1A","Gdown,Gdown1,GCOM1","15q21.3"
"HGNC:30074","POLR3A","RNA polymerase III subunit A","","RPC1,RPC155,hRPC155,C160","10q22.3"
"HGNC:30348","POLR3B","RNA polymerase III subunit B","","RPC2,FLJ10388,C128","12q23.3"
"HGNC:30076","POLR3C","RNA polymerase III subunit C","","RPC62,RPC3,C82","1q21.1"
"HGNC:1080","POLR3D","RNA polymerase III subunit D","BN51T","TSBN51,RPC4,C53","8p21.3"
"HGNC:30347","POLR3E","RNA polymerase III subunit E","","RPC5,SIN,FLJ10509,C37","16p12.2"
"HGNC:15763","POLR3F","RNA polymerase III subunit F","","RPC39,RPC6,C34","20p11.23"
"HGNC:30075","POLR3G","RNA polymerase III subunit G","","RPC32,RPC7,C31","5q14.3"
"HGNC:28466","POLR3GL","RNA polymerase III subunit GL","","flj32422,MGC3200","1q21.1"
"HGNC:30349","POLR3H","RNA polymerase III subunit H","","RPC8,KIAA1665,C25","22q13.2"
"HGNC:17888","CRCP","CGRP receptor component","","CGRP-RCP,RCP,RCP9,C17,POLR3I","7q11.21"
"HGNC:14121","POLR3K","RNA polymerase III subunit K","","RPC11,C11","16p13.3"
