HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:4897	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	Approved	gene with protein product		Hrs, ZFYVE8, Vps27	17q25.3	9146	ENSG00000185359	OTTHUMG00000178109	1115	ESCRT-0
HGNC:11357	STAM	signal transducing adaptor molecule	Approved	gene with protein product		STAM1	10p12.33	8027	ENSG00000136738	OTTHUMG00000017749	1115	ESCRT-0
HGNC:11358	STAM2	signal transducing adaptor molecule 2	Approved	gene with protein product		Hbp	2q23.3	10254	ENSG00000115145	OTTHUMG00000131885	1115	ESCRT-0
HGNC:25153	MVB12A	multivesicular body subunit 12A	Approved	gene with protein product	FAM125A	FLJ32495	19p13.11	93343	ENSG00000141971	OTTHUMG00000166252	1116	ESCRT-I
HGNC:23368	MVB12B	multivesicular body subunit 12B	Approved	gene with protein product	C9orf28, FAM125B	FLJ00001	9q33.3	89853	ENSG00000196814	OTTHUMG00000020687	1116	ESCRT-I
HGNC:15971	TSG101	tumor susceptibility 101	Approved	gene with protein product	TSG10	VPS23	11p15.1	7251	ENSG00000074319	OTTHUMG00000167725	1116	ESCRT-I
HGNC:12461	UBAP1	ubiquitin associated protein 1	Approved	gene with protein product	UBAP		9p13.3	51271	ENSG00000165006	OTTHUMG00000000430	1116	ESCRT-I
HGNC:18178	VPS28	VPS28 subunit of ESCRT-I	Approved	gene with protein product			8q24.3	51160	ENSG00000160948	OTTHUMG00000165209	1116	ESCRT-I
HGNC:24928	VPS37A	VPS37A subunit of ESCRT-I	Approved	gene with protein product	PQBP2	FLJ32642, HCRP1, SPG53	8p22	137492	ENSG00000155975	OTTHUMG00000130785	1116	ESCRT-I
HGNC:25754	VPS37B	VPS37B subunit of ESCRT-I	Approved	gene with protein product		FLJ12750	12q24.31	79720	ENSG00000139722	OTTHUMG00000168767	1116	ESCRT-I
HGNC:26097	VPS37C	VPS37C subunit of ESCRT-I	Approved	gene with protein product		FLJ20847	11q12.2	55048	ENSG00000167987	OTTHUMG00000167826	1116	ESCRT-I
