sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:1594","CCNH","cyclin H","","","5q14.3","CDK activating kinase complex"
"HGNC:1778","CDK7","cyclin dependent kinase 7","","","5q13.2","CDK activating kinase complex"
"HGNC:7181","MNAT1","MNAT1 component of CDK activating kinase","","","14q23.1","CDK activating kinase complex"
"HGNC:4646","GTF2A1","general transcription factor IIA subunit 1","","","14q31.1","General transcription factor IIA complex subunits"
"HGNC:30727","GTF2A1L","general transcription factor IIA subunit 1 like","","","2p16.3","General transcription factor IIA complex subunits"
"HGNC:4647","GTF2A2","general transcription factor IIA subunit 2","","","15q22.2","General transcription factor IIA complex subunits"
"HGNC:11535","TAF1","TATA-box binding protein associated factor 1","TAF2A,BA2R,CCG1,CCGS,DYT3","","Xq13.1","General transcription factor IID complex subunits"
"HGNC:11536","TAF2","TATA-box binding protein associated factor 2","TAF2B","","8q24.12","General transcription factor IID complex subunits"
"HGNC:17303","TAF3","TATA-box binding protein associated factor 3","","","10p14","General transcription factor IID complex subunits"
"HGNC:11537","TAF4","TATA-box binding protein associated factor 4","TAF4A,TAF2C1,TAF2C","","20q13.33","General transcription factor IID complex subunits"
"HGNC:11539","TAF5","TATA-box binding protein associated factor 5","TAF2D","","10q24.33","General transcription factor IID complex subunits"
"HGNC:11540","TAF6","TATA-box binding protein associated factor 6","TAF2E","","7q22.1","General transcription factor IID complex subunits"
"HGNC:11541","TAF7","TATA-box binding protein associated factor 7","TAF2F","","5q31.3","General transcription factor IID complex subunits"
"HGNC:17300","TAF8","TATA-box binding protein associated factor 8","TBN","","6p21.1","General transcription factor IID complex subunits"
"HGNC:11542","TAF9","TATA-box binding protein associated factor 9","TAF2G","","5q13.2","General transcription factor IID complex subunits"
"HGNC:11543","TAF10","TATA-box binding protein associated factor 10","TAF2H,TAF2A","","11p15.4","General transcription factor IID complex subunits"
"HGNC:11544","TAF11","TATA-box binding protein associated factor 11","TAF2I","","6p21.31","General transcription factor IID complex subunits"
"HGNC:11545","TAF12","TATA-box binding protein associated factor 12","TAF2J","","1p35.3","General transcription factor IID complex subunits"
"HGNC:11546","TAF13","TATA-box binding protein associated factor 13","TAF2K","","1p13.3","General transcription factor IID complex subunits"
"HGNC:11588","TBP","TATA-box binding protein","GTF2D1,SCA17","","6q27","General transcription factor IID complex subunits"
"HGNC:4650","GTF2E1","general transcription factor IIE subunit 1","","","3q13.33","General transcription factor IIE complex subunits"
"HGNC:4651","GTF2E2","general transcription factor IIE subunit 2","","","8p12","General transcription factor IIE complex subunits"
"HGNC:4652","GTF2F1","general transcription factor IIF subunit 1","","","19p13.3","General transcription factor IIF complex subunits"
"HGNC:4653","GTF2F2","general transcription factor IIF subunit 2","","","13q14.12-q14.13","General transcription factor IIF complex subunits"
"HGNC:3434","ERCC2","ERCC excision repair 2, TFIIH core complex helicase subunit","XPD","","19q13.32","General transcription factor IIH complex subunits"
"HGNC:3435","ERCC3","ERCC excision repair 3, TFIIH core complex helicase subunit","","","2q14.3","General transcription factor IIH complex subunits"
"HGNC:4655","GTF2H1","general transcription factor IIH subunit 1","","","11p15.1","General transcription factor IIH complex subunits"
"HGNC:4656","GTF2H2","general transcription factor IIH subunit 2","","","5q13.2","General transcription factor IIH complex subunits"
"HGNC:4657","GTF2H3","general transcription factor IIH subunit 3","","","12q24.31","General transcription factor IIH complex subunits"
"HGNC:4658","GTF2H4","general transcription factor IIH subunit 4","","","6p21.33","General transcription factor IIH complex subunits"
"HGNC:21157","GTF2H5","general transcription factor IIH subunit 5","C6orf175,TTD","","6q25.3","General transcription factor IIH complex subunits"
"HGNC:13652","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB","TFNR,TAF3B1","","5q13.2","General transcription factor IIIB complex subunits"
"HGNC:11551","BRF1","BRF1 RNA polymerase III transcription initiation factor subunit","TAF3B2,TAF3C,GTF3B","","14q32.33","General transcription factor IIIB complex subunits"
"HGNC:11588","TBP","TATA-box binding protein","GTF2D1,SCA17","","6q27","General transcription factor IIIB complex subunits"
"HGNC:4664","GTF3C1","general transcription factor IIIC subunit 1","","","16p12.1","General transcription factor IIIC complex subunits"
"HGNC:4665","GTF3C2","general transcription factor IIIC subunit 2","","","2p23.3","General transcription factor IIIC complex subunits"
"HGNC:4666","GTF3C3","general transcription factor IIIC subunit 3","","","2q33.1","General transcription factor IIIC complex subunits"
"HGNC:4667","GTF3C4","general transcription factor IIIC subunit 4","","","9q34.13","General transcription factor IIIC complex subunits"
"HGNC:4668","GTF3C5","general transcription factor IIIC subunit 5","","","9q34.13","General transcription factor IIIC complex subunits"
"HGNC:20872","GTF3C6","general transcription factor IIIC subunit 6","C6orf51","","6q21","General transcription factor IIIC complex subunits"
