sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:30528","DNAJC19","DnaJ heat shock protein family (Hsp40) member C19","","TIMM14,Tim14,Pam18","3q26.33"
"HGNC:19696","GRPEL1","GrpE like 1, mitochondrial","","FLJ25609,GrpE,hMGE","4p16.1"
"HGNC:5232","HSPA1A","heat shock protein family A (Hsp70) member 1A","HSPA1","HSP70-1","6p21.33"
"HGNC:5233","HSPA1B","heat shock protein family A (Hsp70) member 1B","","HSP70-2","6p21.33"
"HGNC:5234","HSPA1L","heat shock protein family A (Hsp70) member 1 like","","HSP70-HOM,hum70t","6p21.33"
"HGNC:29679","PAM16","presequence translocase associated motor 16","","Magmas,Tim16,TIMM16","16p13.3"
"HGNC:17315","TIMM17A","translocase of inner mitochondrial membrane 17A","","TIM17,TIM17A","1q32.1"
"HGNC:17310","TIMM17B","translocase of inner mitochondrial membrane 17B","","DXS9822,JM3","Xp11.23"
"HGNC:25010","TIMM21","translocase of inner mitochondrial membrane 21","C18orf55","HSPC154,TIM21","18q22.3"
"HGNC:17312","TIMM23","translocase of inner mitochondrial membrane 23","","TIM23","10q11.22"
"HGNC:23581","TIMM23B","translocase of inner mitochondrial membrane 23 homolog B","","bA592B15.7","10q11.23"
"HGNC:17316","TIMM44","translocase of inner mitochondrial membrane 44","","TIM44","19p13.2"
