,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
A2M,,,154.0,154.0,
AAAS,80.0,117.0,133.0,110.0,27.184554438136374
AACS,135.0,,,135.0,
AADAT,,,184.0,184.0,
AAGAB,75.0,82.0,92.0,83.0,8.54400374531753
AAMDC,,,106.5,106.5,
AAMP,88.0,110.0,117.0,105.0,15.132745950421556
AAR2,136.0,,,136.0,
AARS,103.0,111.0,121.0,111.66666666666667,9.018499505645789
AASDHPPT,,118.0,128.5,123.25,7.424621202458749
AASS,,128.0,,128.0,
AATF,82.0,101.0,133.0,105.33333333333333,25.774664562964407
ABAT,,,106.5,106.5,
ABCA1,,,175.0,175.0,
ABCB7,59.0,119.0,120.0,99.33333333333333,34.93326972004386
ABCB8,79.0,,,79.0,
ABCC2,,,189.0,189.0,
ABCC3,88.0,,,88.0,
ABCC5,,,181.0,181.0,
ABCD3,,,108.0,108.0,
ABCD4,88.0,86.0,121.5,98.5,19.94367067517913
ABCE1,,69.0,152.0,110.5,58.68986283848344
ABCF1,121.0,123.0,,122.0,1.4142135623730951
ABCF2,110.5,106.0,107.0,107.83333333333333,2.362907813126304
ABCF3,108.0,,,108.0,
ABCG1,95.0,,,95.0,
ABHD10,96.0,116.0,136.0,116.0,20.0
ABHD11,96.5,,,96.5,
ABHD12,85.5,,,85.5,
ABHD12B,,130.5,,130.5,
ABHD13,79.0,,,79.0,
ABHD14B,99.5,,,99.5,
ABHD17C,138.0,,,138.0,
ABHD4,104.0,110.0,117.0,110.33333333333333,6.506407098647712
ABHD5,74.5,,,74.5,
ABHD6,70.5,,132.0,101.25,43.487067042972676
ABI1,,81.0,160.5,120.75,56.21498910433053
ABI2,63.5,112.0,133.5,103.0,35.857356288493996
ABL1,93.0,,163.0,128.0,49.49747468305833
ABLIM1,98.0,,120.5,109.25,15.90990257669732
ABO,95.0,,,95.0,
ABR,,,178.5,178.5,
ABRACL,85.0,112.5,101.0,99.5,13.811227316933133
ABT1,93.0,128.5,152.5,124.66666666666667,29.93465104746226
AC002310.12,109.0,,,109.0,
AC005062.2,,131.5,,131.5,
AC005154.6,93.0,,,93.0,
AC005276.1,,131.0,,131.0,
AC006262.5,102.0,,,102.0,
AC007318.5,89.0,100.0,113.0,100.66666666666667,12.013880860626733
AC007326.1,,185.5,,185.5,
AC009005.2,130.0,,,130.0,
AC012146.7,106.0,,,106.0,
AC013461.1,99.0,,,99.0,
AC016577.1,,156.0,,156.0,
AC026271.5,54.5,,112.0,83.25,40.658639918226484
AC027612.6,97.0,,,97.0,
AC074289.1,,133.0,,133.0,
AC133785.1,70.0,,,70.0,
ACAA1,85.0,,111.0,98.0,18.384776310850235
ACAA2,84.0,,133.0,108.5,34.64823227814083
ACACA,65.0,145.5,180.0,130.16666666666666,59.01341655363917
ACAD8,90.0,121.0,171.5,127.5,41.13696634415329
ACAD9,83.0,,128.0,105.5,31.81980515339464
ACADM,92.0,136.0,137.0,121.66666666666667,25.69695182961071
ACADSB,,,138.0,138.0,
ACADVL,80.0,,258.0,169.0,125.86500705120545
ACAP2,,,218.0,218.0,
ACAT1,77.0,97.0,141.5,105.16666666666667,33.016410061260956
ACAT2,72.0,71.0,120.0,87.66666666666667,28.00595174839329
ACBD3,,,112.0,112.0,
ACBD4,97.0,,,97.0,
ACBD6,73.5,104.0,,88.75,21.5667568261897
ACD,92.0,,88.0,90.0,2.8284271247461903
ACKR3,,,122.0,122.0,
ACLY,123.5,121.5,141.0,128.66666666666666,10.727690027836063
ACO1,82.0,,,82.0,
ACO2,97.0,105.0,114.0,105.33333333333333,8.504900548115383
ACOT13,60.0,96.0,120.0,92.0,30.199337741083
ACOT2,85.0,,165.0,125.0,56.568542494923804
ACOT7,102.0,100.0,109.0,103.66666666666667,4.725815626252608
ACOT8,99.0,109.0,126.0,111.33333333333333,13.650396819628847
ACOT9,81.0,78.5,179.0,112.83333333333333,57.31564649668826
ACP1,83.0,119.0,127.0,109.66666666666667,23.437861108329262
ACP2,124.5,,129.0,126.75,3.181980515339464
ACP6,104.0,,132.0,118.0,19.79898987322333
ACSF2,81.0,,146.0,113.5,45.96194077712559
ACSF3,89.0,,,89.0,
ACSL1,75.5,,,75.5,
ACSL3,,88.0,140.0,114.0,36.76955262170047
ACSL4,,,131.0,131.0,
ACSM3,,162.0,,162.0,
ACSS2,68.5,,116.5,92.5,33.94112549695428
ACTA2,98.0,,90.0,94.0,5.656854249492381
ACTB,119.0,137.0,148.0,134.66666666666666,14.6401275039985
ACTC1,89.0,,,89.0,
ACTG1,91.5,99.5,106.0,99.0,7.262919523166975
ACTL6A,95.5,112.0,118.0,108.5,11.651180197731044
ACTN1,95.0,128.0,123.0,115.33333333333333,17.7857620959388
ACTR10,85.0,100.0,120.0,101.66666666666667,17.55942292142123
ACTR1A,62.5,97.0,87.0,82.16666666666667,17.750586844759056
ACTR1B,105.0,,,105.0,
ACTR2,95.5,91.0,112.0,99.5,11.05667219374799
ACTR3,76.0,115.0,140.0,110.33333333333333,32.25419869309007
ACTR3B,89.0,,,89.0,
ACTR6,,99.0,122.0,110.5,16.263455967290593
ACVR2A,,,143.0,143.0,
ACVR2B,,90.5,112.0,101.25,15.202795795510772
ACYP1,124.0,,185.0,154.5,43.1335136523794
ACYP2,96.0,,,96.0,
ADA,79.0,,99.0,89.0,14.142135623730951
ADAM10,,99.0,151.0,125.0,36.76955262170047
ADAM9,,,160.0,160.0,
ADAMTS1,97.0,,169.0,133.0,50.91168824543142
ADAMTS12,,,159.0,159.0,
ADAMTS9,,,141.5,141.5,
ADAR,105.0,129.5,162.0,132.16666666666666,28.59341416014068
ADARB1,135.0,,,135.0,
ADCK1,91.0,,,91.0,
ADCK3,114.5,,165.0,139.75,35.70889244992065
ADCY2,,112.0,,112.0,
ADCY3,102.5,,,102.5,
ADCY6,,,224.5,224.5,
ADD1,123.0,,199.0,161.0,53.74011537017761
ADD2,,73.0,,73.0,
ADD3,,105.0,195.5,150.25,63.99316369738255
ADGRA2,,,199.0,199.0,
ADGRA3,,147.5,239.0,193.25,64.7002704785691
ADGRE2,131.5,,,131.5,
ADGRE5,94.0,,,94.0,
ADGRG3,81.0,,,81.0,
ADGRG6,,,176.0,176.0,
ADGRL2,,,198.0,198.0,
ADGRV1,,101.0,,101.0,
ADH5,78.5,100.0,124.0,100.83333333333333,22.76144400808818
ADIPOR1,93.0,100.0,121.5,104.83333333333333,14.852048119142804
ADIPOR2,120.0,,,120.0,
ADK,73.5,126.0,119.0,106.16666666666667,28.50584735336477
ADM,115.0,,,115.0,
ADNP,,122.0,144.5,133.25,15.90990257669732
ADNP2,,,199.0,199.0,
ADPGK,94.0,,202.5,148.25,76.7210857587404
ADPRHL2,89.0,102.0,89.5,93.5,7.365459931328117
ADPRM,101.0,,102.5,101.75,1.0606601717798212
ADRM1,101.0,90.5,94.5,95.33333333333333,5.299371031861549
ADSSL1,88.0,,,88.0,
AEN,102.0,,,102.0,
AES,110.5,,,110.5,
AFAP1L2,,,182.0,182.0,
AFG3L2,102.0,99.5,97.0,99.5,2.5
AFMID,121.0,140.0,154.0,138.33333333333334,16.56301099840646
