,UNIPROT_ID,cell_line,half-life t1/2 in h,kdeg,HGNC_ID,Study
0,A0AVT1,HeLA,49.07168042650652,0.014125197558662277,HGNC:25581,Cambridge 2011
1,A0FGR8,HeLA,36.054136816711384,0.01922517751801136,HGNC:22211,Cambridge 2011
2,A0MZ66,HeLA,35.98043376399073,0.019264558762869834,HGNC:29319,Cambridge 2011
3,A0PJW6,HeLA,36.796605692416435,0.018837258695923655,HGNC:28464,Cambridge 2011
4,A1L0T0,HeLA,37.15825577203428,0.018653921346911434,HGNC:6041,Cambridge 2011
5,A1X283,HeLA,33.66720609670386,0.020588200237613628,HGNC:29242,Cambridge 2011
6,A2RRP1,HeLA,41.434430261233466,0.016728773056364717,HGNC:15625,Cambridge 2011
7,A3KMH1,HeLA,32.79038907400762,0.021138729979553406,HGNC:29071,Cambridge 2011
8,A3KN83,HeLA,81.44846425991331,0.008510254758739426,HGNC:22973,Cambridge 2011
9,A4D1E1,HeLA,22.81975938719431,0.030374868060568442,HGNC:21958,Cambridge 2011
10,A4D1E9,HeLA,23.560960950760155,0.029419308576103812,HGNC:25106,Cambridge 2011
11,A4D1P6,HeLA,38.63513644362937,0.0179408498161067,HGNC:24997,Cambridge 2011
12,A5YKK6,HeLA,29.75861872089984,0.023292316994307925,HGNC:7877,Cambridge 2011
13,A6NCE7,HeLA,9.311823642402778,0.0744373183147065,HGNC:34390,Cambridge 2011
14,A6NDG6,HeLA,43.46406385461123,0.01594759254170402,HGNC:8909,Cambridge 2011
15,A6NDU8,HeLA,31.49746712040184,0.02200644191199023,HGNC:27750,Cambridge 2011
16,A6NED2,HeLA,16.537459924619615,0.04191376328162976,HGNC:30457,Cambridge 2011
17,A6NHG4,HeLA,57.80851815913054,0.011990398692661636,HGNC:33446,Cambridge 2011
18,A6NHQ2,HeLA,28.023370879547617,0.02473461110511252,HGNC:35458,Cambridge 2011
19,A6NIH7,HeLA,19.984805997458274,0.03468370824555924,HGNC:16488,Cambridge 2011
20,A6NJ78,HeLA,28.770585172716544,0.02409221697782026,HGNC:26606,Cambridge 2011
21,A6NNY8,HeLA,12.14261328770388,0.05708385535606699,HGNC:13486,Cambridge 2011
22,A8K0Z3,HeLA,43.058164401572114,0.016097926843686758,HGNC:24361,Cambridge 2011
23,A8MXV4,HeLA,57.17626367013785,0.012122988388308482,HGNC:32036,Cambridge 2011
24,O00139,HeLA,26.198172807362344,0.02645784443276722,HGNC:6318,Cambridge 2011
25,O00148,HeLA,44.52813617092141,0.015566498851407061,HGNC:17821,Cambridge 2011
26,O00151,HeLA,46.16771446387477,0.015013677601526448,HGNC:2067,Cambridge 2011
27,O00154,HeLA,50.98018830622606,0.013596402908446952,HGNC:24157,Cambridge 2011
28,O00159,HeLA,46.25279271975235,0.014986061160885002,HGNC:7597,Cambridge 2011
29,O00161,HeLA,25.69418393588719,0.026976812429205948,HGNC:11131,Cambridge 2011
30,O00170,HeLA,25.372465220199448,0.027318874005515203,HGNC:358,Cambridge 2011
31,O00178,HeLA,30.868430793761867,0.0224548887888406,HGNC:4669,Cambridge 2011
32,O00186,HeLA,31.99973759343924,0.02166102701736086,HGNC:11446,Cambridge 2011
33,O00193,HeLA,30.781860660790983,0.0225180403549437,HGNC:16990,Cambridge 2011
34,O00203,HeLA,27.63042336546539,0.025086375673356257,HGNC:566,Cambridge 2011
35,O00213,HeLA,15.33964584640112,0.04518664821212718,HGNC:581,Cambridge 2011
36,O00217,HeLA,22.267791016487006,0.031127792606223992,HGNC:7715,Cambridge 2011
37,O00231,HeLA,40.937444114258184,0.01693186263962502,HGNC:9556,Cambridge 2011
38,O00232,HeLA,45.56068533953702,0.015213712774387099,HGNC:9557,Cambridge 2011
39,O00233,HeLA,36.54751393719531,0.018965645153075986,HGNC:9567,Cambridge 2011
40,O00244,HeLA,51.93628374011719,0.013346106626118437,HGNC:798,Cambridge 2011
41,O00264,HeLA,49.488308497530106,0.0140062815158562,HGNC:16090,Cambridge 2011
42,O00267,HeLA,28.92373365178194,0.023964650930093243,HGNC:11469,Cambridge 2011
