sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:17286","EXOSC1","exosome component 1","","hCsl4p,Csl4p,CSL4,Ski4p,SKI4,CGI-108,p13","10q24.1"
"HGNC:17097","EXOSC2","exosome component 2","","hRrp4p,Rrp4p,RRP4,p7","9q34.12"
"HGNC:17944","EXOSC3","exosome component 3","","hRrp40p,Rrp40p,RRP40,CGI-102,p10,hRrp-40","9p13.2"
"HGNC:18189","EXOSC4","exosome component 4","","hRrp41p,FLJ20591,Rrp41p,RRP41,RRP41A,Ski6p,SKI6,p12A","8q24.3"
"HGNC:24662","EXOSC5","exosome component 5","","hRrp46p,Rrp46p,RRP46,RRP41B,MGC12901,p12B","19q13.2"
"HGNC:19055","EXOSC6","exosome component 6","","MTR3,hMtr3p,Mtr3p,EAP4,p11","16q22.1"
"HGNC:28112","EXOSC7","exosome component 7","","hRrp42p,Rrp42p,RRP42,EAP1,KIAA0116,p8","3p21.31"
"HGNC:17035","EXOSC8","exosome component 8","","OIP2,RRP43,bA421P11.3,Rrp43p,EAP2,p9,CIP3","13q13.3"
"HGNC:9137","EXOSC9","exosome component 9","PMSCL1","PM/Scl-75,Rrp45p,RRP45,p5,p6","4q27"
"HGNC:9138","EXOSC10","exosome component 10","PMSCL2","PM-Scl,PM/Scl-100,Rrp6p,RRP6,p2,p3,p4","1p36.22"
"HGNC:20604","DIS3","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease","KIAA1008","dis3p,RRP44,EXOSC11","13q21.33"
"HGNC:28698","DIS3L","DIS3 like exosome 3'-5' exoribonuclease","","MGC4562,FLJ38088,KIAA1955,DIS3L1","15q22.31"
