sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:3271","EIF3A","eukaryotic translation initiation factor 3 subunit A","EIF3,EIF3S10","eIF3-theta,eIF3-p170,KIAA0139,TIF32","10q26.11"
"HGNC:3280","EIF3B","eukaryotic translation initiation factor 3 subunit B","EIF3S9","PRT1","7p22.3"
"HGNC:3279","EIF3C","eukaryotic translation initiation factor 3 subunit C","EIF3S8","eIF3-p110","16p11.2"
"HGNC:3278","EIF3D","eukaryotic translation initiation factor 3 subunit D","EIF3S7","eIF3-p66,eIF3-zeta","22q12.3"
"HGNC:3277","EIF3E","eukaryotic translation initiation factor 3 subunit E","INT6,EIF3S6","eIF3-p48","8q23.1"
"HGNC:3275","EIF3F","eukaryotic translation initiation factor 3 subunit F","EIF3S5","eIF3-epsilon,eIF3-p47","11p15.4"
"HGNC:3274","EIF3G","eukaryotic translation initiation factor 3 subunit G","EIF3S4","eIF3-delta,eIF3-p44","19p13.2"
"HGNC:3273","EIF3H","eukaryotic translation initiation factor 3 subunit H","EIF3S3","eIF3-gamma,eIF3-p40","8q23.3-q24.11"
"HGNC:3272","EIF3I","eukaryotic translation initiation factor 3 subunit I","EIF3S2","TRIP-1,eIF3-beta,eIF3-p36","1p35.2"
"HGNC:3270","EIF3J","eukaryotic translation initiation factor 3 subunit J","EIF3S1","eIF3-p35,eIF3-alpha","15q21.1"
"HGNC:24656","EIF3K","eukaryotic translation initiation factor 3 subunit K","EIF3S12","PRO1474,HSPC029,PTD001,PLAC-24,M9,ARG134","19q13.2"
"HGNC:18138","EIF3L","eukaryotic translation initiation factor 3 subunit L","EIF3S6IP,EIF3EIP","HSPC021,HSPC025,EIF3S11","22q13.1"
"HGNC:24460","EIF3M","eukaryotic translation initiation factor 3 subunit M","PCID1","hfl-B5,FLJ29030,GA17,TANGO7","11p13"
