sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:1581","CCNC","cyclin C","","CycC","6q16.2"
"HGNC:1779","CDK8","cyclin dependent kinase 8","","K35","13q12.13"
"HGNC:19338","CDK19","cyclin dependent kinase 19","CDK11,CDC2L6","KIAA1028,bA346C16.3","6q21"
"HGNC:9234","MED1","mediator complex subunit 1","TRIP2,PPARGBP,PPARBP","PBP,TRAP220,RB18A,DRIP230,CRSP200,CRSP1","17q12"
"HGNC:23074","MED29","mediator complex subunit 29","IXL","DKFZp434H247,MED2","19q13.2"
"HGNC:2377","MED27","mediator complex subunit 27","CRSP8","TRAP37,CRSP34,MED3","9q34.13"
"HGNC:17903","MED4","mediator complex subunit 4","VDRIP","HSPC126,DRIP36,TRAP36","13q14.2"
"HGNC:22963","MED24","mediator complex subunit 24","THRAP4,CRSP4","TRAP100,KIAA0130,DRIP100,CRSP100,MED5","17q21.1"
"HGNC:19970","MED6","mediator complex subunit 6","","NY-REN-28","14q24.2"
"HGNC:2378","MED7","mediator complex subunit 7","CRSP9","CRSP33","5q33.3"
"HGNC:19971","MED8","mediator complex subunit 8","","MGC17544,MGC19641,ARC32","1p34.2"
"HGNC:25487","MED9","mediator complex subunit 9","","FLJ10193,MED25","17p11.2"
"HGNC:28760","MED10","mediator complex subunit 10","","TRG20,L6,MGC5309,NUT2","5p15.31"
"HGNC:32687","MED11","mediator complex subunit 11","","HSPC296,MGC88387","17p13.2"
"HGNC:11957","MED12","mediator complex subunit 12","TNRC11,FGS1","CAGH45,HOPA,OPA1,TRAP230,KIAA0192,OKS,ARC240,Kto","Xq13.1"
"HGNC:16050","MED12L","mediator complex subunit 12L","","KIAA1635,TNRC11L,TRALPUSH,TRALP","3q25.1"
"HGNC:22474","MED13","mediator complex subunit 13","THRAP1","KIAA0593,TRAP240","17q23.2"
"HGNC:22962","MED13L","mediator complex subunit 13L","THRAP2","KIAA1025,TRAP240L","12q24.21"
"HGNC:2370","MED14","mediator complex subunit 14","CXorf4,CRSP2","EXLM1,CRSP150,TRAP170,RGR1,CSRP","Xp11.4"
"HGNC:14248","MED15","mediator complex subunit 15","TNRC7,PCQAP","TIG-1,CAG7A,Arc105","22q11.21"
"HGNC:17556","MED16","mediator complex subunit 16","THRAP5","DRIP92,TRAP95","19p13.3"
"HGNC:2375","MED17","mediator complex subunit 17","CRSP6","CRSP77,TRAP80,DRIP80,SRB4","11q21"
"HGNC:25944","MED18","mediator complex subunit 18","","FLJ20045,p28b,SRB5","1p35.3"
"HGNC:29600","MED19","mediator complex subunit 19","","LCMR1","11q12.1"
"HGNC:16840","MED20","mediator complex subunit 20","TRFP","DKFZp586D2223,PRO0213,SRB2","6p21.1"
"HGNC:11473","MED21","mediator complex subunit 21","SURB7","SRB7","12p11.23"
"HGNC:11477","MED22","mediator complex subunit 22","SURF5","Med24,SRB6","9q34.2"
"HGNC:2372","MED23","mediator complex subunit 23","CRSP3,MRT18","CRSP130,DRIP130,Sur2","6q23.2"
"HGNC:28845","MED25","mediator complex subunit 25","","ARC92,ACID1,TCBAP0758,DKFZp434K0512","19q13.33"
"HGNC:2376","MED26","mediator complex subunit 26","CRSP7","CRSP70","19p13.11"
"HGNC:24628","MED28","mediator complex subunit 28","","EG1,DKFZP434N185,magicin","4p15.32"
"HGNC:23032","MED30","mediator complex subunit 30","THRAP6","TRAP25","8q24.11"
"HGNC:24260","MED31","mediator complex subunit 31","","CGI-125,Soh1","17p13.1"
