sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:7877","CNOT1","CCR4-NOT transcription complex subunit 1","NOT1","CDC39,NOT1H,KIAA1007,AD-005","16q21"
"HGNC:7878","CNOT2","CCR4-NOT transcription complex subunit 2","NOT2","CDC36,NOT2H","12q15"
"HGNC:7879","CNOT3","CCR4-NOT transcription complex subunit 3","NOT3","NOT3H,KIAA0691,LENG2","19q13.42"
"HGNC:7880","CNOT4","CCR4-NOT transcription complex subunit 4","NOT4","CLONE243,NOT4H","7q33"
"HGNC:14099","CNOT6","CCR4-NOT transcription complex subunit 6","","CCR4,KIAA1194,Ccr4a","5q35.3"
"HGNC:18042","CNOT6L","CCR4-NOT transcription complex subunit 6 like","","DKFZp434K098,Ccr4b","4q21.1"
"HGNC:14101","CNOT7","CCR4-NOT transcription complex subunit 7","CAF1","","8p22"
"HGNC:9207","CNOT8","CCR4-NOT transcription complex subunit 8","POP2","CAF1,hCAF1,CALIF","5q33.2"
"HGNC:10445","CNOT9","CCR4-NOT transcription complex subunit 9","RQCD1","RCD1,RCD1+,CT129,CAF40","2q35"
"HGNC:23817","CNOT10","CCR4-NOT transcription complex subunit 10","","FLJ12890,FLJ13165","3p22.3"
"HGNC:25217","CNOT11","CCR4-NOT transcription complex subunit 11","C2orf29","C40","2q11.2"
"HGNC:19081","TNKS1BP1","tankyrase 1 binding protein 1","","TAB182,KIAA1741,FLJ45975","11q12.1"
