sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:1493","CARS1","cysteinyl-tRNA synthetase 1","CARS","","11p15.4"
"HGNC:25695","CARS2","cysteinyl-tRNA synthetase 2, mitochondrial","","FLJ12118","13q34"
"HGNC:29419","EARS2","glutamyl-tRNA synthetase 2, mitochondrial","","KIAA1970,MSE1,mtGlnRS","16p12.2"
"HGNC:3418","EPRS1","glutamyl-prolyl-tRNA synthetase 1","QPRS,QARS,EPRS","EARS,PARS,GLUPRORS","1q41"
"HGNC:5330","IARS1","isoleucyl-tRNA synthetase 1","IARS","ILRS","9q22.31"
"HGNC:29685","IARS2","isoleucyl-tRNA synthetase 2, mitochondrial","","FLJ10326","1q41"
"HGNC:6512","LARS1","leucyl-tRNA synthetase 1","LARS","HSPC192,FLJ10595,FLJ21788,LEUS,RNTLS","5q32"
"HGNC:17095","LARS2","leucyl-tRNA synthetase 2, mitochondrial","","KIAA0028,LEURS,MGC26121,mtLeuRS","3p21.31"
"HGNC:6898","MARS1","methionyl-tRNA synthetase 1","MARS","MetRS,SPG70,CMT2U","12q13.3"
"HGNC:25133","MARS2","methionyl-tRNA synthetase 2, mitochondrial","","mtMetRS,SPAX3","2q33.1"
"HGNC:9751","QARS1","glutaminyl-tRNA synthetase 1","QARS","","3p21.31"
"HGNC:9870","RARS1","arginyl-tRNA synthetase 1","RARS","DALRD1","5q34"
"HGNC:21406","RARS2","arginyl-tRNA synthetase 2, mitochondrial","RARSL","MGC14993,MGC23778,PRO1992,dJ382I10.6,DALRD2","6q15"
"HGNC:12651","VARS1","valyl-tRNA synthetase 1","VARS2,VARS","","6p21.33"
"HGNC:21642","VARS2","valyl-tRNA synthetase 2, mitochondrial","VARS2L,VARSL","DKFZP434L1435,KIAA1885,G7a","6p21.33"
"HGNC:12729","WARS1","tryptophanyl-tRNA synthetase 1","IFI53,WARS","IFP53","14q32.2"
"HGNC:12730","WARS2","tryptophanyl tRNA synthetase 2, mitochondrial","","mtTrpRS","1p12"
"HGNC:12840","YARS1","tyrosyl-tRNA synthetase 1","YARS","YTS,YRS,tyrRS","1p35.1"
"HGNC:24249","YARS2","tyrosyl-tRNA synthetase 2","","FLJ13995,CGI-04,mt-TyrRS","12p11.21"
